"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2022","348.00","350.00","354.78","345.20","3.78M","-2.21%"
"04/08/2022","355.88","361.96","362.50","354.86","4.03M","-1.73%"
"04/07/2022","362.15","365.00","368.54","353.69","4.95M","-1.68%"
"04/06/2022","368.35","374.15","376.47","362.73","4.35M","-3.10%"
"04/05/2022","380.15","389.30","390.00","377.30","4.23M","-2.90%"
"04/04/2022","391.50","373.55","396.02","373.13","7.01M","4.83%"
"04/01/2022","373.47","376.80","380.87","368.50","4.64M","-0.30%"
"03/31/2022","374.59","383.59","384.00","373.61","4.13M","-1.80%"
"03/30/2022","381.47","389.55","392.70","378.63","4.02M","-2.64%"
"03/29/2022","391.82","384.39","396.50","380.33","5.88M","3.52%"
"03/28/2022","378.51","375.23","380.28","366.73","4.32M","1.25%"
"03/25/2022","373.85","377.07","377.64","366.43","3.58M","-0.50%"
"03/24/2022","375.71","379.76","379.76","368.90","3.89M","0.33%"
"03/23/2022","374.49","379.77","382.46","374.49","3.73M","-2.20%"
"03/22/2022","382.92","371.14","386.66","366.76","4.24M","2.22%"
"03/21/2022","374.59","378.02","381.82","368.94","4.87M","-1.58%"
"03/18/2022","380.60","372.00","381.80","368.47","8.32M","2.48%"
"03/17/2022","371.40","359.70","373.31","354.88","5.82M","3.88%"
"03/16/2022","357.53","348.20","359.99","343.06","6.98M","4.01%"
"03/15/2022","343.75","335.10","345.36","332.36","5.46M","3.85%"
"03/14/2022","331.01","338.72","341.32","329.82","5.91M","-2.74%"
"03/11/2022","340.32","361.19","363.36","340.00","4.82M","-4.61%"
"03/10/2022","356.77","356.20","367.02","353.30","4.81M","-0.56%"
"03/09/2022","358.79","357.68","364.14","350.51","6.52M","4.98%"
"03/08/2022","341.76","349.80","358.86","340.67","6.43M","-2.43%"
"03/07/2022","350.26","360.41","361.99","350.20","5.71M","-3.17%"
"03/04/2022","361.73","368.00","374.82","357.17","5.33M","-1.72%"
"03/03/2022","368.07","386.00","386.12","364.65","6.08M","-3.15%"
"03/02/2022","380.03","388.93","389.22","375.21","5.36M","-1.61%"
"03/01/2022","386.24","391.60","395.00","383.70","3.29M","-2.10%"
"02/28/2022","394.52","387.33","397.75","382.13","5.04M","0.95%"
"02/25/2022","390.80","386.61","391.29","375.58","4.84M","0.20%"
"02/24/2022","390.03","355.09","390.73","354.72","7.07M","6.14%"
"02/23/2022","367.46","382.72","386.00","366.66","4.61M","-2.63%"
"02/22/2022","377.38","388.95","392.42","373.02","6.70M","-3.55%"
"02/18/2022","391.29","392.53","402.87","389.05","6.80M","1.19%"
"02/17/2022","386.67","394.23","399.11","385.70","4.67M","-2.87%"
"02/16/2022","398.08","401.53","401.56","390.38","5.28M","-2.30%"
"02/15/2022","407.46","403.79","409.16","401.01","5.40M","2.75%"
"02/14/2022","396.57","387.59","409.36","386.89","7.20M","1.34%"
"02/11/2022","391.31","405.33","411.61","387.65","7.56M","-3.68%"
"02/10/2022","406.27","402.10","408.00","396.36","8.45M","-1.60%"
"02/09/2022","412.89","408.65","412.98","398.79","7.74M","2.32%"
"02/08/2022","403.53","398.18","406.61","395.83","6.82M","0.36%"
"02/07/2022","402.10","410.17","412.35","393.55","8.23M","-1.97%"
"02/04/2022","410.17","407.31","412.77","396.64","7.79M","1.13%"
"02/03/2022","405.60","421.44","429.26","404.28","9.91M","-5.56%"
"02/02/2022","429.48","448.25","451.98","426.48","14.35M","-6.05%"
"02/01/2022","457.13","432.96","458.48","425.54","22.57M","7.02%"
"01/31/2022","427.14","401.97","427.70","398.20","20.05M","11.13%"
"01/28/2022","384.36","386.76","387.00","372.08","11.97M","-0.61%"
"01/27/2022","386.70","382.06","394.80","378.10","24.32M","7.51%"
"01/26/2022","359.70","378.27","382.66","356.62","12.68M","-1.83%"
"01/25/2022","366.42","379.14","387.71","365.13","15.15M","-5.35%"
"01/24/2022","387.15","383.91","387.26","351.46","32.39M","-2.60%"
"01/21/2022","397.50","400.42","409.15","379.99","58.90M","-21.79%"
"01/20/2022","508.25","517.75","526.64","506.93","12.66M","-1.48%"
"01/19/2022","515.86","515.00","523.21","510.51","4.35M","0.99%"
"01/18/2022","510.80","520.08","521.75","508.68","4.84M","-2.83%"
"01/14/2022","525.69","517.60","538.37","511.88","7.86M","1.25%"
"01/13/2022","519.20","537.06","540.79","518.26","4.48M","-3.35%"
"01/12/2022","537.22","544.27","544.27","532.02","3.79M","-0.67%"
"01/11/2022","540.84","536.99","543.91","530.07","3.08M","0.18%"
"01/10/2022","539.85","538.49","543.69","526.32","4.49M","-0.22%"
"01/07/2022","541.06","549.46","553.43","538.22","3.38M","-2.21%"
"01/06/2022","553.29","554.34","563.36","542.01","5.71M","-2.51%"
"01/05/2022","567.52","592.00","592.84","566.88","4.15M","-4.00%"
"01/04/2022","591.15","599.91","600.41","581.60","4.39M","-1.04%"
"01/03/2022","597.37","605.61","609.99","590.56","3.07M","-0.84%"
"12/31/2021","602.44","610.01","614.08","602.05","2.00M","-1.58%"
"12/30/2021","612.09","612.99","620.61","611.24","1.63M","0.25%"
"12/29/2021","610.54","610.71","613.98","604.68","1.29M","-0.03%"
"12/28/2021","610.71","614.95","618.41","609.69","1.88M","-0.39%"
"12/27/2021","613.12","615.00","615.00","609.25","2.06M","-0.16%"
"12/23/2021","614.09","616.40","616.88","607.57","1.62M","-0.02%"
"12/22/2021","614.24","603.36","614.82","602.63","2.34M","1.54%"
"12/21/2021","604.92","597.54","607.82","593.86","2.32M","1.88%"
"12/20/2021","593.74","586.43","602.88","584.26","3.36M","1.19%"
"12/17/2021","586.73","591.61","593.25","581.74","4.43M","-0.73%"
"12/16/2021","591.06","597.09","602.83","588.00","3.14M","-2.31%"
"12/15/2021","605.04","598.18","605.69","584.51","2.87M","1.18%"
"12/14/2021","597.99","598.71","602.29","588.13","2.98M","-1.09%"
"12/13/2021","604.56","612.00","612.64","599.52","2.52M","-1.16%"
"12/10/2021","611.66","616.78","617.74","605.88","2.75M","0.11%"
"12/09/2021","611.00","627.58","630.24","610.44","2.38M","-2.72%"
"12/08/2021","628.08","630.00","632.46","623.20","2.22M","0.40%"
"12/07/2021","625.58","619.83","628.89","611.40","3.13M","2.10%"
"12/06/2021","612.69","606.01","617.29","601.00","3.08M","1.75%"
"12/03/2021","602.13","622.75","625.50","594.00","4.83M","-2.33%"
"12/02/2021","616.47","617.10","625.36","612.88","3.33M","-0.21%"
"12/01/2021","617.77","649.48","654.52","617.07","3.90M","-3.76%"
"11/30/2021","641.90","668.20","675.38","640.01","5.61M","-3.31%"
"11/29/2021","663.84","663.20","667.99","658.29","2.53M","-0.27%"
"11/26/2021","665.64","675.00","676.41","660.67","2.87M","1.12%"
"11/24/2021","658.29","658.01","661.44","651.10","1.87M","0.65%"
"11/23/2021","654.06","658.18","666.43","646.05","2.32M","-0.78%"
"11/22/2021","659.20","676.02","679.48","656.47","2.77M","-2.89%"
"11/19/2021","678.80","692.35","694.16","675.00","2.61M","-0.47%"
"11/18/2021","682.02","691.61","691.74","679.73","2.01M","-1.40%"
"11/17/2021","691.69","690.00","700.99","686.09","2.73M","0.62%"
"11/16/2021","687.40","678.27","688.36","676.90","2.08M","1.19%"
"11/15/2021","679.33","681.23","685.26","671.49","2.87M","-0.48%"
"11/12/2021","682.61","660.01","683.34","653.82","4.20M","3.81%"
"11/11/2021","657.58","650.24","665.82","649.71","2.87M","1.65%"
"11/10/2021","646.91","653.01","660.33","642.11","2.41M","-1.38%"
"11/09/2021","655.99","653.70","660.50","650.52","2.42M","0.70%"
"11/08/2021","651.45","650.29","656.00","643.79","2.89M","0.89%"
"11/05/2021","645.72","663.97","665.64","645.01","5.28M","-3.39%"
"11/04/2021","668.40","685.89","685.94","665.50","4.87M","-2.89%"
"11/03/2021","688.29","677.27","689.39","677.27","2.33M","1.56%"
"11/02/2021","677.72","683.11","687.68","673.82","3.89M","-0.51%"
"11/01/2021","681.17","689.06","689.97","676.54","3.11M","-1.32%"
"10/29/2021","690.31","673.06","690.97","671.24","3.83M","2.41%"
"10/28/2021","674.05","670.95","676.80","668.03","2.86M","1.68%"
"10/27/2021","662.92","669.00","671.41","661.85","2.28M","-0.84%"
"10/26/2021","668.52","673.76","676.49","662.77","2.90M","-0.47%"
"10/25/2021","671.66","663.74","675.88","657.07","3.83M","1.03%"
"10/22/2021","664.78","651.81","665.46","651.81","6.19M","1.78%"
"10/21/2021","653.16","628.89","654.01","628.65","8.44M","4.48%"
"10/20/2021","625.14","625.57","637.40","617.15","10.62M","-2.17%"
"10/19/2021","639.00","636.97","641.00","632.30","7.63M","0.16%"
"10/18/2021","637.97","632.10","638.41","620.59","4.67M","1.54%"
"10/15/2021","628.29","638.00","639.42","625.16","4.12M","-0.87%"
"10/14/2021","633.80","632.23","636.88","626.79","2.67M","0.64%"
"10/13/2021","629.76","632.18","632.18","622.10","2.42M","0.77%"
"10/12/2021","624.94","633.02","637.66","621.99","3.23M","-0.33%"
"10/11/2021","627.04","633.20","639.42","626.78","2.86M","-0.89%"
"10/08/2021","632.66","634.16","643.80","630.86","3.27M","0.13%"
"10/07/2021","631.85","642.23","646.84","630.45","3.56M","-1.13%"
"10/06/2021","639.10","628.18","639.87","626.36","4.58M","0.68%"
"10/05/2021","634.81","606.94","640.39","606.89","9.53M","5.21%"
"10/04/2021","603.35","613.39","626.13","594.68","5.00M","-1.60%"
"10/01/2021","613.15","604.24","614.99","597.51","4.09M","0.46%"
"09/30/2021","610.34","608.05","619.00","608.05","6.62M","1.88%"
"09/29/2021","599.06","589.01","609.88","588.01","6.22M","2.61%"
"09/28/2021","583.85","589.00","599.54","580.16","4.43M","-1.48%"
"09/27/2021","592.64","587.95","593.58","576.93","2.50M","0.04%"
"09/24/2021","592.39","592.50","592.98","583.64","2.13M","-0.15%"
"09/23/2021","593.26","590.79","599.32","589.13","2.53M","0.44%"
"09/22/2021","590.65","579.69","595.65","579.69","4.02M","3.06%"
"09/21/2021","573.14","578.31","581.88","569.37","2.25M","-0.40%"
"09/20/2021","575.43","586.79","591.53","568.08","3.73M","-2.36%"
"09/17/2021","589.35","587.85","590.28","580.85","4.15M","0.49%"
"09/16/2021","586.50","584.30","587.48","577.72","1.83M","0.62%"
"09/15/2021","582.87","578.17","584.62","575.37","2.76M","0.88%"
"09/14/2021","577.76","584.89","587.28","575.56","3.46M","-1.96%"
"09/13/2021","589.29","598.57","598.57","582.78","3.06M","-1.58%"
"09/10/2021","598.72","598.16","609.45","593.67","3.95M","0.20%"
"09/09/2021","597.54","606.47","609.44","596.55","2.95M","-1.40%"
"09/08/2021","606.05","603.84","615.60","595.71","5.42M","-0.11%"
"09/07/2021","606.71","594.69","613.85","593.99","5.83M","2.74%"
"09/03/2021","590.53","585.80","591.88","583.14","2.68M","0.34%"
"09/02/2021","588.55","583.68","598.76","583.68","6.18M","1.11%"
"09/01/2021","582.07","569.00","591.00","569.00","5.63M","2.26%"
"08/31/2021","569.19","566.12","569.48","561.61","2.43M","0.53%"
"08/30/2021","566.18","557.25","567.16","556.45","2.43M","1.30%"
"08/27/2021","558.92","551.60","564.17","549.25","3.25M","1.60%"
"08/26/2021","550.12","546.16","552.60","545.90","1.60M","0.46%"
"08/25/2021","547.58","550.16","552.84","545.45","2.07M","-1.05%"
"08/24/2021","553.41","551.48","555.31","549.27","2.11M","0.01%"
"08/23/2021","553.33","545.98","555.55","543.74","2.60M","1.18%"
"08/20/2021","546.88","545.09","551.39","539.10","3.78M","0.58%"
"08/19/2021","543.71","522.74","548.39","521.87","7.50M","4.18%"
"08/18/2021","521.87","520.00","526.38","518.65","2.58M","0.57%"
"08/17/2021","518.91","515.47","520.79","514.20","2.31M","0.19%"
"08/16/2021","517.92","515.24","523.38","512.30","2.03M","0.39%"
"08/13/2021","515.92","512.64","521.44","511.51","2.18M","1.02%"
"08/12/2021","510.72","511.86","513.00","507.20","1.69M","-0.33%"
"08/11/2021","512.40","517.00","519.57","509.77","1.67M","-0.67%"
"08/10/2021","515.84","520.00","520.79","512.97","1.96M","-0.79%"
"08/09/2021","519.97","521.15","522.67","517.99","1.37M","-0.11%"
"08/06/2021","520.55","524.00","526.84","519.39","1.92M","-0.83%"
"08/05/2021","524.89","517.13","525.41","514.02","2.56M","1.46%"
"08/04/2021","517.35","513.00","517.98","510.37","2.04M","1.28%"
"08/03/2021","510.82","514.39","515.63","505.37","2.58M","-0.84%"
"08/02/2021","515.15","519.00","519.85","510.51","2.10M","-0.47%"
"07/30/2021","517.57","512.69","519.79","510.96","2.54M","0.65%"
"07/29/2021","514.25","519.96","520.78","513.79","1.74M","-0.97%"
"07/28/2021","519.30","521.82","524.47","516.98","2.39M","0.08%"
"07/27/2021","518.91","518.08","521.95","512.05","2.76M","0.47%"
"07/26/2021","516.49","514.38","521.13","509.01","2.25M","0.21%"
"07/23/2021","515.41","512.16","517.41","504.66","3.82M","0.71%"
"07/22/2021","511.77","510.21","513.68","507.00","4.33M","-0.36%"
"07/21/2021","513.63","526.13","530.99","505.61","11.91M","-3.28%"
"07/20/2021","531.05","526.07","536.64","520.30","6.93M","-0.23%"
"07/19/2021","532.28","526.05","534.91","522.24","3.89M","0.37%"
"07/16/2021","530.31","541.81","544.06","527.05","3.44M","-2.33%"
"07/15/2021","542.95","553.97","557.54","538.20","5.71M","-0.91%"
"07/14/2021","547.95","541.01","554.10","541.01","4.66M","1.34%"
"07/13/2021","540.68","535.76","545.33","535.76","2.75M","0.63%"
"07/12/2021","537.31","540.30","540.65","532.92","1.78M","0.25%"
"07/09/2021","535.98","531.00","538.26","528.58","2.78M","0.98%"
"07/08/2021","530.76","530.93","535.50","529.09","3.27M","-0.97%"
"07/07/2021","535.96","544.24","544.64","531.66","2.72M","-1.05%"
"07/06/2021","541.64","533.00","542.86","533.00","2.78M","1.43%"
"07/02/2021","533.98","535.50","538.54","529.39","1.98M","0.08%"
"07/01/2021","533.54","525.72","537.04","525.72","2.81M","1.01%"
"06/30/2021","528.21","534.06","534.38","526.82","2.77M","-0.99%"
"06/29/2021","533.50","533.55","536.13","528.57","2.31M","0.09%"
"06/28/2021","533.03","528.12","533.94","524.56","2.82M","1.13%"
"06/25/2021","527.07","528.84","533.06","525.00","5.30M","1.74%"
"06/24/2021","518.06","517.96","520.96","514.40","3.36M","1.04%"
"06/23/2021","512.74","508.48","516.63","508.20","3.94M","0.77%"
"06/22/2021","508.82","498.54","513.55","495.80","5.81M","2.38%"
"06/21/2021","497.00","501.64","502.05","492.28","5.28M","-0.75%"
"06/18/2021","500.77","496.40","504.49","495.24","5.20M","0.49%"
"06/17/2021","498.34","490.25","501.80","490.15","3.20M","1.20%"
"06/16/2021","492.41","495.00","496.46","486.28","3.53M","0.10%"
"06/15/2021","491.90","501.23","501.23","490.40","3.10M","-1.60%"
"06/14/2021","499.89","489.68","503.50","486.91","4.40M","2.28%"
"06/11/2021","488.77","490.00","491.41","487.78","3.12M","0.31%"
"06/10/2021","487.27","487.17","490.21","482.14","4.38M","0.30%"
"06/09/2021","485.81","494.50","496.09","484.65","3.06M","-1.34%"
"06/08/2021","492.39","497.00","498.82","489.37","2.37M","-0.46%"
"06/07/2021","494.66","492.92","496.70","490.55","2.79M","-0.02%"
"06/04/2021","494.74","492.00","501.86","490.95","3.16M","1.08%"
"06/03/2021","489.43","495.19","496.66","487.25","3.89M","-1.96%"
"06/02/2021","499.24","499.82","503.22","495.82","2.27M","0.03%"
"06/01/2021","499.08","504.01","505.41","497.74","2.48M","-0.74%"
"05/28/2021","502.81","504.40","511.76","502.53","2.91M","-0.21%"
"05/27/2021","503.86","501.80","505.10","498.54","3.25M","0.30%"
"05/26/2021","502.36","502.34","504.14","500.50","2.47M","0.20%"
"05/25/2021","501.34","506.00","506.36","499.22","2.70M","-0.31%"
"05/24/2021","502.90","501.05","504.25","499.51","2.41M","1.01%"
"05/21/2021","497.89","503.12","505.40","497.26","3.32M","-0.75%"
"05/20/2021","501.67","489.55","502.70","488.98","3.72M","2.86%"
"05/19/2021","487.70","481.63","488.57","478.54","3.35M","0.29%"
"05/18/2021","486.28","488.39","493.48","486.19","2.35M","-0.54%"
"05/17/2021","488.94","485.59","492.71","482.81","2.71M","-0.90%"
"05/14/2021","493.37","487.86","494.85","486.59","2.88M","1.38%"
"05/13/2021","486.66","489.13","490.77","482.71","2.72M","0.35%"
"05/12/2021","484.98","486.83","493.54","482.70","4.12M","-2.04%"
"05/11/2021","495.08","479.75","497.99","478.63","4.40M","1.72%"
"05/10/2021","486.69","502.00","503.15","486.11","5.13M","-3.40%"
"05/07/2021","503.84","504.62","508.55","501.12","3.13M","0.86%"
"05/06/2021","499.55","495.99","499.55","491.37","3.78M","0.70%"
"05/05/2021","496.08","504.99","507.78","494.63","3.13M","-1.41%"
"05/04/2021","503.18","510.78","511.63","496.79","4.35M","-1.16%"
"05/03/2021","509.11","512.65","518.95","505.20","4.09M","-0.85%"
"04/30/2021","513.47","505.00","514.55","505.00","4.41M","0.88%"
"04/29/2021","509.00","507.60","509.29","499.00","5.13M","0.49%"
"04/28/2021","506.52","505.20","508.39","503.34","3.19M","0.19%"
"04/27/2021","505.55","512.62","512.99","504.58","3.76M","-0.93%"
"04/26/2021","510.30","506.76","510.48","503.00","4.39M","0.94%"
"04/23/2021","505.55","509.01","509.70","500.70","7.31M","-0.63%"
"04/22/2021","508.78","513.82","513.96","500.55","9.06M","-0.02%"
"04/21/2021","508.90","508.00","515.46","503.60","22.90M","-7.40%"
"04/20/2021","549.57","554.42","563.56","546.30","11.26M","-0.88%"
"04/19/2021","554.44","546.90","556.44","545.53","4.29M","1.45%"
"04/16/2021","546.54","550.54","551.98","539.51","3.21M","-0.49%"
"04/15/2021","549.22","544.17","553.49","542.66","3.14M","1.70%"
"04/14/2021","540.02","554.87","554.87","538.53","3.74M","-2.48%"
"04/13/2021","553.73","557.00","559.75","550.30","2.72M","0.17%"
"04/12/2021","552.78","551.05","557.98","549.58","2.94M","-0.46%"
"04/09/2021","555.31","552.69","556.90","547.11","2.89M","0.13%"
"04/08/2021","554.58","551.13","556.90","547.57","4.31M","1.39%"
"04/07/2021","546.99","543.50","549.64","541.45","2.15M","0.45%"
"04/06/2021","544.53","544.81","554.16","543.30","3.47M","0.71%"
"04/05/2021","540.67","540.01","542.85","529.23","3.36M","0.23%"
"04/01/2021","539.42","529.93","540.50","527.03","3.94M","3.40%"
"03/31/2021","521.66","515.67","528.13","515.44","3.50M","1.61%"
"03/30/2021","513.39","510.51","514.41","506.91","2.42M","-0.11%"
"03/29/2021","513.95","505.66","518.00","504.40","3.33M","1.16%"
"03/26/2021","508.05","502.82","508.72","496.68","3.47M","1.03%"
"03/25/2021","502.86","516.99","518.53","497.00","4.93M","-3.45%"
"03/24/2021","520.81","533.78","534.42","520.00","4.10M","-2.67%"
"03/23/2021","535.09","529.87","543.12","529.40","5.58M","2.29%"
"03/22/2021","523.11","509.13","529.31","509.13","3.36M","2.13%"
"03/19/2021","512.18","504.96","513.19","501.63","4.39M","1.46%"
"03/18/2021","504.79","516.40","517.90","503.85","4.10M","-3.75%"
"03/17/2021","524.44","522.00","528.37","514.30","2.82M","0.08%"
"03/16/2021","524.03","524.47","533.42","523.21","3.24M","0.73%"
"03/15/2021","520.25","516.32","520.73","508.03","3.49M","0.43%"
"03/12/2021","518.02","512.50","526.51","506.59","3.98M","-0.96%"
"03/11/2021","523.06","512.20","530.23","510.71","4.71M","3.67%"
"03/10/2021","504.54","513.50","518.97","504.25","3.77M","-0.38%"
"03/09/2021","506.44","507.31","513.11","503.82","3.47M","2.66%"
"03/08/2021","493.33","514.46","518.84","492.85","3.98M","-4.47%"
"03/05/2021","516.39","511.98","517.76","498.79","5.07M","1.00%"
"03/04/2021","511.29","521.50","531.50","507.68","5.03M","-1.81%"
"03/03/2021","520.70","545.93","548.01","517.81","5.36M","-4.95%"
"03/02/2021","547.82","553.34","556.99","546.02","3.04M","-0.51%"
"03/01/2021","550.64","545.57","552.14","542.00","3.04M","2.19%"
"02/26/2021","538.85","546.51","553.09","538.00","3.76M","-1.44%"
"02/25/2021","546.70","550.27","556.48","535.75","4.25M","-1.21%"
"02/24/2021","553.41","539.80","556.85","539.07","3.25M","1.33%"
"02/23/2021","546.15","525.00","548.54","518.28","4.14M","2.32%"
